Quest,Quest,Order,Type,Status,Created_at
626aa505175ef4000190ac2c,13817,JMB-v575678-01,CENCOSUD_SHOPPER,OPEN,Thu Apr 28 2022 07:30:29 GMT-0700 (Pacific Daylight Time)
6269a1d7968bb800014acb90,13817,JMB-v573059-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 13:04:39 GMT-0700 (Pacific Daylight Time)
626ac24c968bb800016084b7,13817,JMB-v576426-01,CENCOSUD_SHOPPER,OPEN,Thu Apr 28 2022 09:35:24 GMT-0700 (Pacific Daylight Time)
626aa81ed26fe50001245fd6,13817,JMB-v575725-01,CENCOSUD_SHOPPER,REVIEWING,Thu Apr 28 2022 07:43:42 GMT-0700 (Pacific Daylight Time)
626a0f21968bb800010c73ba,13817,JMB-v574343-01,CENCOSUD_SHOPPER,REVIEWING,Wed Apr 27 2022 20:50:57 GMT-0700 (Pacific Daylight Time)
6269d331175ef40001655716,13817,JMB-v573681-01,CENCOSUD_SHOPPER,REVIEWING,Wed Apr 27 2022 16:35:13 GMT-0700 (Pacific Daylight Time)
62699e22d26fe500019aa4d0,13817,JMB-v573028-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 12:48:50 GMT-0700 (Pacific Daylight Time)
626841fdd26fe500012a3fbc,13817,JMB-v569220-01,CENCOSUD_SHOPPER,APPROVED,Tue Apr 26 2022 12:03:25 GMT-0700 (Pacific Daylight Time)
626a122d968bb80001cfe630,13817,JMB-v574361-01,CENCOSUD_SHOPPER,OPEN,Wed Apr 27 2022 21:03:57 GMT-0700 (Pacific Daylight Time)
6269f71bd26fe50001d0f908,13817,JMB-v574067-01,CENCOSUD_SHOPPER,OPEN,Wed Apr 27 2022 19:08:27 GMT-0700 (Pacific Daylight Time)
6266f025175ef4000141a1bb,13817,JMB-v565306-01,CENCOSUD_SHOPPER,OPEN,Mon Apr 25 2022 12:01:57 GMT-0700 (Pacific Daylight Time)
626a8428d26fe500014667f6,13817,JMB-v575021-01,CENCOSUD_SHOPPER,OPEN,Thu Apr 28 2022 05:10:16 GMT-0700 (Pacific Daylight Time)
626a7fa6d26fe50001bdcfcb,13817,JMB-v574965-01,CENCOSUD_SHOPPER,OPEN,Thu Apr 28 2022 04:51:02 GMT-0700 (Pacific Daylight Time)
626a30cb968bb800018ef473,13817,JMB-v574451-01,CENCOSUD_SHOPPER,OPEN,Wed Apr 27 2022 23:14:35 GMT-0700 (Pacific Daylight Time)
626964f2968bb80001a3d974,13817,JMB-v572414-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 08:44:50 GMT-0700 (Pacific Daylight Time)
626a07c3968bb80001aef12a,13817,JMB-v574270-01,CENCOSUD_SHOPPER,OPEN,Wed Apr 27 2022 20:19:31 GMT-0700 (Pacific Daylight Time)
62699af0968bb800018b0ffa,13817,JMB-v573009-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 12:35:12 GMT-0700 (Pacific Daylight Time)
62698dfbd26fe50001ca4a17,13817,JMB-v572515-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 11:39:55 GMT-0700 (Pacific Daylight Time)
62698df7968bb8000110a5f2,13817,JMB-v572877-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 11:39:51 GMT-0700 (Pacific Daylight Time)
6268c3e3175ef400017c63a3,13817,JMB-v571609-01,CENCOSUD_SHOPPER,APPROVED,Tue Apr 26 2022 21:17:39 GMT-0700 (Pacific Daylight Time)
62698730175ef40001dda45e,13817,JMB-v572809-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 11:10:56 GMT-0700 (Pacific Daylight Time)
62698710d26fe50001f83566,13817,JMB-v572808-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 11:10:24 GMT-0700 (Pacific Daylight Time)
626a0053968bb8000101b43d,13817,JMB-v574174-01,CENCOSUD_SHOPPER,OPEN,Wed Apr 27 2022 19:47:47 GMT-0700 (Pacific Daylight Time)
62695ea4968bb80001691710,13817,JMB-v572336-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 08:17:56 GMT-0700 (Pacific Daylight Time)
6268bde9175ef40001f31ca8,13817,JMB-v571443-01,CENCOSUD_SHOPPER,APPROVED,Tue Apr 26 2022 20:52:09 GMT-0700 (Pacific Daylight Time)
6269526b175ef400016403ae,13817,JMB-v572237-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 07:25:47 GMT-0700 (Pacific Daylight Time)
62696958d26fe5000184abb1,13817,JMB-v572463-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 09:03:36 GMT-0700 (Pacific Daylight Time)
626970a0175ef40001492b85,13817,JMB-v572567-01,CENCOSUD_SHOPPER,APPROVED,Wed Apr 27 2022 09:34:40 GMT-0700 (Pacific Daylight Time)
6268b3e6175ef4000158c17a,13817,JMB-v571160-01,CENCOSUD_SHOPPER,APPROVED,Tue Apr 26 2022 20:09:26 GMT-0700 (Pacific Daylight Time)
6267567c968bb8000164c705,13817,JMB-v567317-01,CENCOSUD_SHOPPER,APPROVED,Mon Apr 25 2022 19:18:36 GMT-0700 (Pacific Daylight Time)
